"COCI_INST_CD","PRGM_LCPC_CD","PRGM_INST_PROGRAM_NAME","CIP_CODE_4","OLD_CIP4_NAME","REG_CIP4","NEW_CIP4_NAME","PRIOR_ANALYST_FLAG","REG_PRGM_ID","REG_NOTES","REVIEW_VERDICT","REVIEW_NOTES"
"LANG","DP_SSWCSSWC","Diploma: Social Service Worker (Co-ordinated)","4407","Social work","4400","Human services, general",FALSE,"6284","Changed CIP in 2026 from 440701. Changed DASHBOARD_CPC_NAME in 2015 during program review. Updated CPC in 2014 link to prgmid 6305",,
"CNC","BU-ACFN2","Accounting and Finance Diploma","5203","Accounting and related services","3016","Accounting and computer science",FALSE,"9986","Changed CIP from 520304 and CIP CLUSTER from 03 and ARTS_APPLIED in 2025. Changed DASHBOARD_CPC_NAME slightly in 2023. Updated CPC in 2020 - link to prgmid 5858.",,
"COTR","ATBO","Adventure Tourism Business Operations","3101","Parks, recreation and leisure studies","3106","Outdoor education",FALSE,"3966","Changed CIP from 310101 in 2026. Changed CIP from 520900 to 310101 during 2016 program review. Changed CIP in 2010.",,
"COTR","ATBO2","Adventure Tourism Business Operations Diploma","3101","Parks, recreation and leisure studies","3106","Outdoor education",FALSE,"5228","Changed CIP from 310101 in 2026. Changed DASHBOARD_CPC_NAME in 2017 during program review.  Changed CIP from 520900 to 310101 during 2016 program review. Changed CIP in 2010.",,
"COTR","MAST","Mountain Adventure Skills Training","3101","Parks, recreation and leisure studies","3106","Outdoor education",FALSE,"3971","Changed CIP from 310101 in 2026. Changed CIP from 520900 to 310101 during 2016 program review. Changed CIP in 2010.",,
"DOUG","ATDABA","Dis&Appl Behav Analys Adv Cert","1310","Special education and teaching","4228","Clinical, counselling and applied psychology",FALSE,"9060","Changed CIP from 131013 and changed CIP CLUSTER from 06 and changed ARTS_APPLIED in 2025.Changed DASHBOARD_CPC_NAME in 2015 during program review.  Updated CPC in 2015 - link to prgmid 6451",,
"DOUG","DPAHT_F","Animal Health Technology","5108","Allied health and medical assisting services","0183","Veterinary/animal health technologies/technicians",FALSE,"6445","Changed DASHBOARD_CPC_NAME in 2015 during program review. Changed program name in 2015. Updated CPC in 2014 link to prgmid 5509",,
"DOUG","CTACCT","Accounting Certificate","5203","Accounting and related services","3016","Accounting and computer science",FALSE,"6331","Changed CIP from 520302 and changed CIP CLUSTER from 03 and and changed ARTS_APPLIED in 2025. Changed DASHBOARD_CPC_NAME in 2015 during program review.  Updated CPC in 2014 link to prgmid 2103",,
"DOUG","DPFSMT","Financial Services Mgmt","5208","Finance and financial management services","3071","Data analytics",FALSE,"6423","Changed CIP from 520803 and changed CIP CLUSTER from 03 and changed ARTS_APPLIED in 2025. Revised DASHBOARD_CPC_NAME in 2020 to fix abbreviation.  Updated CPC in 2014 link to prgmid 5181.",,
"TRU","PDAS","Adventure Studies","3101","Parks, recreation and leisure studies","3106","Outdoor education",FALSE,"8990","Changed CIP from 310101 in 2026 program review. Changed CIP from 310601 to 310101 and changed CPC_DESC in 2015 during program review. New program in 2015.",,
"BCIT","1940","Heavy Mech Trades Foundation","4706","Vehicle maintenance and repair technologies, general","4703","Heavy/industrial equipment maintenance technologies/technicians",FALSE,"9111","Changed CIP in 2026 from 470613. Changed cleaned program name and DASHBOARD_CPC_NAME slightly during 2016 program review. New program in 2016.",,
"DOUG","DPECES_P","ECED Dipl - Special Needs PT","1312","Teacher education and professional development, specific levels and methods","1310","Special education and teaching",FALSE,"9074","Changed Cip from 131210 in 2025.Changed DASHBOARD_CPC_NAME in 2015 during program review. Changed CIP in 2015 during program review from 190709 to 131210 - changes CIP CLUSTER, CIP4, and CIP2. New program in 2015.",,
"UFV","ENGP MEC DIP","Engineering Physics Diploma in Mechatronics","1401","Engineering, general","1442","Mechatronics, robotics, and automation engineering",FALSE,"9208","Changed CIP from 140101 in 2025. New program in 2016.",,
"DOUG","ASARTE","Arts/ENVS - Associate Degree","2401","Liberal arts and sciences, general studies and humanities","0301","Natural resources conservation and research",FALSE,"9053","Changed PROGRAM_NAME_CLEANED slightly during Program Review in 2026. Changed CIP from 240101 and changed CIP CLUSTER from 01 and changed ARTS_APPLIED in 2025. New program in 2015.",,
"LANG","CR_SSRVSSRV","Certificate: Social Service Worker","4407","Social work","4400","Human services, general",FALSE,"6244","Changed CIP in 2026 from 440701. Changed DASHBOARD_CPC_NAME in 2015 during program review. Updated CPC in 2014 link to prgmid 5103",,
"NLC","SSWD2","Social Services Worker Diploma","4407","Social work","4400","Human services, general",FALSE,"5253","Changed CIP from 440701 in 2025.",,
"NLC","POPR1","Power Engineering & Gas Processing","4705","Stationary energy sources installer and operator","1517","Energy systems technologies/technicians",FALSE,"5432","Changed TTRAIN from 1 to 2 in 2021 to match updated CPC PWENG1. Changed CIP in 2010.",,
"CMTN","SSW","Social Service Worker","4407","Social work","4400","Human services, general",FALSE,"592","Changed CIP from 440701 in 2025 during program review. ",,
"CMTN","SSW2","Social Service Worker","4407","Social work","4400","Human services, general",FALSE,"5022","Changed CIP from 440701 in 2025 during program review. ",,
"OKAN","ZVIT","Viticulture Certificate","0103","Agricultural production operations","0110","Food science and technology",FALSE,"4956","Changed CIP from 010399 during 2018 cohort loading.",,
"SEL","RFW 2","RECREATION, FISH & WILDLIFE II","0306","Wildlife and wildlands science and management","0301","Natural resources conservation and research",FALSE,"3129","Changed CIP from 030601 in 2026.",,
"SEL","RFW 2","RECREATION, FISH & WILDLIFE II","0306","Wildlife and wildlands science and management","0301","Natural resources conservation and research",FALSE,"3129","Changed CIP from 030601 in 2026.",,
"SEL","EACSW","Education Assistant and Community Support Worker","1907","Human development, family studies and related services","1315","Teaching assistants/aides",TRUE,"10132","Changed CIP from 190707 and CIP CLUSTER from 07 in 2026. Updated CPC in 2021 - link to prgmid 3119.",,
"SEL","SSW 1","SOCIAL SERVICE WORKER I","4407","Social work","4400","Human services, general",FALSE,"704","Changed CIP from 440701 in 2026.",,
"TRU","DAG","Adventure Guide Diploma","3101","Parks, recreation and leisure studies","3106","Outdoor education",FALSE,"5917","Changed CIP from 310101 in 2026 program review. Changed DASHBOARD_NAME in 2017 during program review. Changed CIP from 310601 and CPC_DESC 2015 program review. Changed CIP in 2014 program review from 310101. Updated CPC in 2012 - Link to prgmid 1164.",,
"TRU","CAWG","Animal Welfare General","5108","Allied health and medical assisting services","0183","Veterinary/animal health technologies/technicians",FALSE,"5898","Changed CPC_DESC in 2015 during program review. Updated CPC in 2012 . Link to historical infoware prgmid 4979 and sors programid 2189.",,
"UFV","CRIM DIP","Diploma in Criminal Justice","4301","Criminal justice and corrections","4504","Criminology",FALSE,"3310","Changed CIP from 430104 and CIP CLUSTER from 07 and ARTS_APPLIED in 2025. ",,
"UFV","SS DIP","Diploma in Social Services","4407","Social work","4400","Human services, general",FALSE,"3324","Changed CIP from 440701 in 2025 during program review. ",,
"UFV","CRIM DIP","Diploma in Criminal Justice","4301","Criminal justice and corrections","4504","Criminology",FALSE,"3310","Changed CIP from 430104 and CIP CLUSTER from 07 and ARTS_APPLIED in 2025. ",,
"UFV","SS DIP","Diploma in Social Services","4407","Social work","4400","Human services, general",FALSE,"3324","Changed CIP from 440701 in 2025 during program review. ",,
"BCIT","6120","Video Production and Editing","0904","Journalism","5006","Film/video and photographic arts",FALSE,"9286","Changed CIP in 2026 from 090401 and changed ARTS - APPLIED and changed CIP CLUSTER. Updated CPC in 2017 link to prgmid 4376.",,
"BCIT","630V","Marketing Management-Professional Sales","5214","Marketing","5218","General sales, merchandising and related marketing operations",FALSE,"3194;3635","Changed CIP in 2026 from 521401. Changed program name slightly in 2015 during program review.",,
"BCIT","690B","Operations Management - Management Engineering","5202","Business administration, management and operations","1515","Engineering-related fields",FALSE,"2346","Changed CIP in 2026 from 520205 and changed CIP CLUSTER. Changed program name slightly in 2015 during program review.",,
"BCIT","690F","Operations Management - Facilities Managemnt","5202","Business administration, management and operations","1906","Housing and human environments",FALSE,"2348","Changed CIP in 2026 from 520205 and changed CIP CLUSTER.",,
"BCIT","630D","Marketing Management-Marketing Communication","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"2323","Changed CIP in 2026 from 521401  and changed CIP CLUSTER.",,
"BCIT","630W","Marketing Management-Customer Relationship Marketing","5214","Marketing","5202","Business administration, management and operations",FALSE,"4143","Changed CIP in 2026 from 521401.",,
"BCIT","6390","Fundraising Management","5219","Specialized sales, merchandising and marketing operations","5202","Business administration, management and operations",FALSE,"3913","Changed CIP in 2026 from 521908. Changed cleaned program name and DASHBOARD_CPC_NAME slightly during 2016 program review.",,
"BCIT","6390","Fundraising Management","5219","Specialized sales, merchandising and marketing operations","5202","Business administration, management and operations",FALSE,"3913","Changed CIP in 2026 from 521908. Changed cleaned program name and DASHBOARD_CPC_NAME slightly during 2016 program review.",,
"CAM","ELC.DIP","Early Learning & Care (Diploma)","1312","Teacher education and professional development, specific levels and methods","1907","Human development, family studies and related services",FALSE,"10369","Changed CIP from 131210 and changed CIP CLUSTER from 06 in 2025. Updated CPC in 2022 - link to prgmid 6046.",,
"CAM","CENG.ACC.CERT","Civil Engineering Technology Access (Certificate)","1401","Engineering, general","1408","Civil engineering",FALSE,"10354","Changed CIP from 140102 in 2025. Updated CPC in 2022 - link to prgmid 5697.",,
"CAM","EGT.CERT","Engineering Graphics Technician (Certificate)","1503","Electrical and electronic engineering technologies/technicians","1513","Drafting/design engineering technologies/technicians",FALSE,"10368","Changed CIP from 150303 in 2025Updated CPC in 2022 - link to prgmid 5386.",,
"CAM","EGT.CERT","Engineering Graphics Technician (Certificate)","1503","Electrical and electronic engineering technologies/technicians","1513","Drafting/design engineering technologies/technicians",FALSE,"10368","Changed CIP from 150303 in 2025Updated CPC in 2022 - link to prgmid 5386.",,
"CAM","CFCS.DIP","Community Family & Child Studies (Diploma)","1907","Human development, family studies and related services","5115","Mental and social health services and allied professions",FALSE,"10357","Changed CIP from 190707 and changed CIP CLUSTER from 07 in 2025. Updated CPC in 2022 - link to prgmid 5134.",,
"CAM","EACS.CERT","Education Assistant & Community Support (Certificate)","1907","Human development, family studies and related services","1310","Special education and teaching",FALSE,"10364","Changed CIP from 190707 and changed CIP CLUSTER from 07 in 2025. Updated CPC in 2022 - link to prgmid 5387.",,
"CAPU","CERTECCE","Early Childhood Care & Ed","1907","Human development, family studies and related services","1312","Teacher education and professional development, specific levels and methods",FALSE,"10465","Changed CIP from 190709 and changed CIP CLUSTER from 07 in 2025 during program review. Updated CPC in 2023 - link to prgmid 1157.",,
"CAPU","CERTECCE","Early Childhood Care & Ed","1907","Human development, family studies and related services","1312","Teacher education and professional development, specific levels and methods",FALSE,"10465","Changed CIP from 190709 and changed CIP CLUSTER from 07 in 2025 during program review. Updated CPC in 2023 - link to prgmid 1157.",,
"BCIT","525A","Forensic-Essentials of Criminalist","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"4573","",,
"BCIT","525C","Forensic-Computer & Commercial Crime","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"4367","",,
"BCIT","525D","Forensic-Economic & Computer Crime","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"4866","Changed program name slightly in 2015 during program review.",,
"BCIT","525F","Forensic-Forensic & Investigative Accounting","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"4867","Changed program name slightly in 2015 during program review.",,
"BCIT","526B","Forensic Investigation-General Criminalistics Option","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5309","Changed program name slightly in 2015 during program review.",,
"BCIT","526C","Forensic Investigation-Computer Crime Studies","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5310","Changed program name slightly in 2015 during program review.",,
"BCIT","526C","Forensic Investigation-Computer Crime Studies","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5310","Changed program name slightly in 2015 during program review.",,
"BCIT","526D","Forensic Investigation-Forensic Science","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5311","Changed program name slightly in 2015 during program review. Link to prgmid 3182",,
"BCIT","526E","Forensic Investigation -Economic Crime Studies","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5312","Changed program name slightly in 2015 during program review.",,
"BCIT","526E","Forensic Investigation -Economic Crime Studies","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5312","Changed program name slightly in 2015 during program review.",,
"BCIT","6110","Radio Arts and Entertainment","1002","Audiovisual communications technologies/technicians","0907","Radio, television and digital communication",FALSE,"8965","Changed CIP in 2026 from 100202.",,
"BCIT","630W","Marketing Management-Customer Relationship Marketing","5214","Marketing","5202","Business administration, management and operations",FALSE,"4143","Changed CIP in 2026 from 521401.",,
"BCIT","630D","Marketing Management-Marketing Communication","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"2323","Changed CIP in 2026 from 521401  and changed CIP CLUSTER.",,
"BCIT","630D","Marketing Management-Marketing Communication","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"2323","Changed CIP in 2026 from 521401  and changed CIP CLUSTER.",,
"BCIT","630X","Marketing Management-Public Relations","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"4374","Changed CIP in 2026 from 521401 and changed ARTS - APPLIED and changed CIP CLUSTER. Changed program name slightly in 2015 during program review.",,
"BCIT","630D","Marketing Management-Marketing Communication","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"2323","Changed CIP in 2026 from 521401  and changed CIP CLUSTER.",,
"BCIT","630X","Marketing Management-Public Relations","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"4374","Changed CIP in 2026 from 521401 and changed ARTS - APPLIED and changed CIP CLUSTER. Changed program name slightly in 2015 during program review.",,
"BCIT","630H","Marketing Management - Entrepreneurship","5214","Marketing","5207","Entrepreneurial and small business operations",FALSE,"4129;4130","Changed CIP in 2026 from 521401. Changed program name slightly in 2015 during program review.",,
"BCIT","630H","Marketing Management - Entrepreneurship","5214","Marketing","5207","Entrepreneurial and small business operations",FALSE,"4129;4130","Changed CIP in 2026 from 521401. Changed program name slightly in 2015 during program review.",,
"BCIT","630M","Marketing Management-Sales Skills","5214","Marketing","5218","General sales, merchandising and related marketing operations",FALSE,"3192","Changed CIP in 2026 from 521401. Changed program name slightly in 2015 during program review.",,
"BCIT","630V","Marketing Management-Professional Sales","5214","Marketing","5218","General sales, merchandising and related marketing operations",FALSE,"3194;3635","Changed CIP in 2026 from 521401. Changed program name slightly in 2015 during program review.",,
"BCIT","630X","Marketing Management-Public Relations","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"4374","Changed CIP in 2026 from 521401 and changed ARTS - APPLIED and changed CIP CLUSTER. Changed program name slightly in 2015 during program review.",,
"BCIT","630X","Marketing Management-Public Relations","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"4374","Changed CIP in 2026 from 521401 and changed ARTS - APPLIED and changed CIP CLUSTER. Changed program name slightly in 2015 during program review.",,
"BCIT","630D","Marketing Management-Marketing Communication","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"2323","Changed CIP in 2026 from 521401  and changed CIP CLUSTER.",,
"BCIT","630V","Marketing Management-Professional Sales","5214","Marketing","5218","General sales, merchandising and related marketing operations",FALSE,"3194;3635","Changed CIP in 2026 from 521401. Changed program name slightly in 2015 during program review.",,
"BCIT","630W","Marketing Management-Customer Relationship Marketing","5214","Marketing","5202","Business administration, management and operations",FALSE,"4143","Changed CIP in 2026 from 521401.",,
"BCIT","630X","Marketing Management-Public Relations","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"4374","Changed CIP in 2026 from 521401 and changed ARTS - APPLIED and changed CIP CLUSTER. Changed program name slightly in 2015 during program review.",,
"BCIT","630V","Marketing Management-Professional Sales","5214","Marketing","5218","General sales, merchandising and related marketing operations",FALSE,"3194;3635","Changed CIP in 2026 from 521401. Changed program name slightly in 2015 during program review.",,
"BCIT","630W","Marketing Management-Customer Relationship Marketing","5214","Marketing","5202","Business administration, management and operations",FALSE,"4143","Changed CIP in 2026 from 521401.",,
"BCIT","630D","Marketing Management-Marketing Communication","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"2323","Changed CIP in 2026 from 521401  and changed CIP CLUSTER.",,
"BCIT","630M","Marketing Management-Sales Skills","5214","Marketing","5218","General sales, merchandising and related marketing operations",FALSE,"3192","Changed CIP in 2026 from 521401. Changed program name slightly in 2015 during program review.",,
"BCIT","630W","Marketing Management-Customer Relationship Marketing","5214","Marketing","5202","Business administration, management and operations",FALSE,"4143","Changed CIP in 2026 from 521401.",,
"BCIT","630D","Marketing Management-Marketing Communication","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"2323","Changed CIP in 2026 from 521401  and changed CIP CLUSTER.",,
"BCIT","630X","Marketing Management-Public Relations","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"4374","Changed CIP in 2026 from 521401 and changed ARTS - APPLIED and changed CIP CLUSTER. Changed program name slightly in 2015 during program review.",,
"BCIT","630D","Marketing Management-Marketing Communication","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"2323","Changed CIP in 2026 from 521401  and changed CIP CLUSTER.",,
"BCIT","630H","Marketing Management - Entrepreneurship","5214","Marketing","5207","Entrepreneurial and small business operations",FALSE,"4129;4130","Changed CIP in 2026 from 521401. Changed program name slightly in 2015 during program review.",,
"BCIT","630X","Marketing Management-Public Relations","5214","Marketing","0909","Public relations, advertising and applied communication",FALSE,"4374","Changed CIP in 2026 from 521401 and changed ARTS - APPLIED and changed CIP CLUSTER. Changed program name slightly in 2015 during program review.",,
"BCIT","690A","Operations Management - Industrial Engineering","5202","Business administration, management and operations","1515","Engineering-related fields",FALSE,"2345","Changed CIP in 2026 from 520205 and changed CIP CLUSTER. Changed program name slightly in 2015 during program review.",,
"BCIT","526A","Forensic-Crime/Intel Analysis","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5308","Changed CIP from 430406 in 2025. Changed program name slightly in 2015 during program review.",,
"BCIT","526D","Forensic Investigation-Forensic Science","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5311","Changed program name slightly in 2015 during program review. Link to prgmid 3182",,
"BCIT","5270","Crime Scene Analysis","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5720","New program in 2012",,
"DOUG","ASSCIE","Science","2401","Liberal arts and sciences, general studies and humanities","3001","Biological and physical sciences",FALSE,"6314","Changed Cip from 240101 in 2025.Changed DASHBOARD_CPC_NAME in 2015 during program review.  Updated CPC in 2014 link to prgmid 1727 and 5441",,
"BCIT","5070","Sustainable Energy Management","1505","Environmental control technologies/technicians","1517","Energy systems technologies/technicians",FALSE,"5598","New program in 2011. In 2012 updated CIP to 150503 from 030506.",,
"BCIT","525H","Forensic-For Health Sciences","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5599","Changed program name slightly in 2015 during program review. New program in 2011",,
"CAM","ACBT.DIP","Applied Chemistry & Biotechnology (Diploma)","4103","Physical science technologies/technicians","2612","Biotechnology",FALSE,"10340","Changed CIP from 410301 and changed CIP CLUSTER from 05 and changed ARTS_APPLIED in 2025. Updated CPC in 2022 - link to prgmid 4745.",,
"CAM","ELC.DIP","Early Learning & Care (Diploma)","1312","Teacher education and professional development, specific levels and methods","1907","Human development, family studies and related services",FALSE,"10369","Changed CIP from 131210 and changed CIP CLUSTER from 06 in 2025. Updated CPC in 2022 - link to prgmid 6046.",,
"CMTN","HCAS","Health Care Assistant","5126","Health aides/attendants/orderlies","5139","Practical nursing, vocational nursing and nursing assistants",FALSE,"5654","Changed CIP from 512601 in 2025 during program review. Changed CIP in 2017 from 512602 to 512601. Updated CPC in 2011 - Link to prgmid 4232",,
"CMTN","HCAS","Health Care Assistant","5126","Health aides/attendants/orderlies","5139","Practical nursing, vocational nursing and nursing assistants",FALSE,"5654","Changed CIP from 512601 in 2025 during program review. Changed CIP in 2017 from 512602 to 512601. Updated CPC in 2011 - Link to prgmid 4232",,
"CAPU","CERTECCE","Early Childhood Care & Ed","1907","Human development, family studies and related services","1312","Teacher education and professional development, specific levels and methods",FALSE,"10465","Changed CIP from 190709 and changed CIP CLUSTER from 07 in 2025 during program review. Updated CPC in 2023 - link to prgmid 1157.",,
"NIC","ASCI.ADGR.GENL","Associate of Science Degree - General","2401","Liberal arts and sciences, general studies and humanities","3001","Biological and physical sciences",FALSE,"5744","Changed CIP from 240101 in 2025 during program review. Updated CPC_DESC AND OR DASHBOARD_CPC_NAME in 2017. New CPC in 2012 - old prgrmid 4099",,
"UFV","AS SCI","Associate of Science Degree","4001","Physical sciences, general","2401","Liberal arts and sciences, general studies and humanities",FALSE,"4175","Changed CIP from 400101 in 2026.",,
"CAM","ECENG.ACC.CERT","Electronics & Computer Engineering Access (Certificate)","1401","Engineering, general","1410","Electrical, electronics and communications engineering",FALSE,"10365","Changed CIP from 140102 in 2025Updated CPC in 2022 - link to prgmid 5698.",,
"BCIT","6110","Radio Arts and Entertainment","1002","Audiovisual communications technologies/technicians","0907","Radio, television and digital communication",FALSE,"8965","Changed CIP in 2026 from 100202.",,
"TRU","CASP","Adventure Sports Certificate","3101","Parks, recreation and leisure studies","3106","Outdoor education",FALSE,"5897","Changed CIP from 310101 in 2026 program review. Changed DASHBOARD_NAME in 2017 during program review. Changed CIP from 310501 and CPC_DESC in 2015 program review. Changed CIP in 2014 program review from 310301. Updated CPC in 2012 . Link to prgmid 5452.",,
