"COCI_INST_CD","PRGM_LCPC_CD","PRGM_INST_PROGRAM_NAME","CIP_CODE_4","OLD_CIP4_NAME","REG_CIP4","NEW_CIP4_NAME","PRIOR_ANALYST_FLAG","REG_PRGM_ID","REG_NOTES","REVIEW_VERDICT","REVIEW_NOTES"
"NIC","SSER.DIPL","Social Services Diploma","4407","Social work","4400","Human services, general",FALSE,"5966","Changed CIP from 440701 in 2025 during program review. Updated CPC_DESC AND OR DASHBOARD_CPC_NAME in 2017. New program in 2013.",,
"DOUG","PDACST","Accounting Studies Post Degree Diploma","5203","Accounting and related services","3016","Accounting and computer science",FALSE,"9319","Changed CIP from 520301 and changed CIP CLUSTER from 03 and changed ARTS_APPLIED in 2025. Changed CPC_DESC in 2020. New program in 2017.",,
"DOUG","PDPCOM","Profess Communications PD Diploma","0901","Communication, general","0907","Radio, television and digital communication",FALSE,"9321","Changed Cip from 090100 in 2025. New program in 2017.",,
"JIBC","IANAGC","Intelligence Analysis Graduate Certificate","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"9234","Changed DASHBOARD_CPC_NAME slightly in 2025. Updated CIP from 430114 in 2023. Updated CPC in 2016 - link to prgmid 6166.",,
"NIC","UNST.BSC.SC.UVIC","Dual Admission UVic Science","2401","Liberal arts and sciences, general studies and humanities","3001","Biological and physical sciences",FALSE,"5971","Changed CIP from 240101 in 2025 during program review. Changed CREDENTIAL in 2022 from ADGR. Updated CPC_DESC AND OR DASHBOARD_CPC_NAME in 2017. New program in 2013.",,
"NLC","WTMT1","Wind Turbine Maintenance Technician","4705","Stationary energy sources installer and operator","4707","Energy systems maintenance and repair technologies/technicians",FALSE,"6037","Changed CIP from 159999 to 470501 in 2017 during program review. Changed TTRAIN to 1 from 2 in 2014. New program in 2013",,
"BCIT","5010","Securities Fraud Analysis","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"5972","New program in 2013.",,
"CAM","MENG.UBC.ADIP","Mechanical Engineering Bridge to UBC (Advanced Diploma)","1508","Mechanical engineering related technologies/technicians","1419","Mechanical engineering",FALSE,"10388","Changed CIP from 150805 in 2025. Updated CPC in 2022 - link to prgmid 6184.",,
"BCIT","526J","ForensicInv-Digital/Cybersecur","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"9906","Changed CIP from 430406 in 2025. New program in 2020.",,
"BCIT","A400","Forensic Inv of Fraud&FinCrime","4301","Criminal justice and corrections","4304","Security science and technology",FALSE,"9916","New program in 2020.",,
"DOUG","DPEGFT","Engnrg and Fabrctn Techno Dipl","1500","Engineering technology, general","1401","General engineering",FALSE,"9925","Changed PROGRAM_NAME_CLEANED slightly during Program Review in 2026. Changed Cip from 150000 in 2025.New program in 2020.",,
"OKAN","VITT","Viticulture Technician Diploma","0103","Agricultural production operations","0110","Food science and technology",FALSE,"10051","New program in 2020.",,
"BCIT","5160","Industrial Wood Processing","1506","Industrial production technologies/technicians","0305","Forestry",FALSE,"9905","Changed CIP in 2026 from 150613. New program in 2020.",,
"BCIT","5440","Geographic Information Systems","1511","Engineering-related technologies","4507","Geography and cartography",FALSE,"9907","Changed CIP in 2026 from 151102 and changed ARTS - APPLIED and changed CIP CLUSTER. New program in 2020.",,
"CAPU","CERTLWLC","Lil'wat Language & Culture","2401","Liberal arts and sciences, general studies and humanities","1610","Indigenous languages, literatures, and linguistics of the Americas",FALSE,"10472","Changed CIP from 240101 in 2025 during program review. Updated CPC in 2023 - link to prgmid 10063.",,
"CAPU","CERTSELC","Sechelt Language & Culture","2401","Liberal arts and sciences, general studies and humanities","1610","Indigenous languages, literatures, and linguistics of the Americas",FALSE,"10471","Changed DASHBOARD_CPC_NAME slightly in 2026. Changed CIP from 240101 in 2025 during program review. Updated CPC in 2023 - link to prgmid 10064.",,
"DOUG","DPFMTS","Fnd for Music Therapy Studies","5009","Music","5123","Rehabilitation and therapeutic professions",FALSE,"9926","Changed PROGRAM_NAME_CLEANED slightly during Program Review in 2026. Changed CIP from 500901 and changed CIP CLUSTER from 08.New program in 2020.",,
"TRU","PCT","Post-Baccalaureate Certificate, Tourism","3101","Parks, recreation and leisure studies","5209","Hospitality administration/management",TRUE,"9919","Changed CIP from 310101 and changed CIP CLUSTER from 07 in 2025 during program review. Changed CIP (and CIP Cluster) from 520903 to 310101 in 2021 during program review.Changed CIP (and CIP Cluster) from 310101 to 520903 in 2020 during program review. New",,
"TRU","DAHT-D","Animal Health Tech - Distance","5108","Allied health and medical assisting services","0183","Veterinary/animal health technologies/technicians",FALSE,"6119","Changed CPC_DESC in 2015 during program review. New program in 2014.",,
"DOUG","PDACCT","Accounting Post Degree Diploma","5203","Accounting and related services","3016","Accounting and computer science",FALSE,"6467","Changed CIP from 520301 and changed CIP CLUSTER from 03 and changed ARTS_APPLIED in 2025. Changed CPC_DESC in 2020. Changed DASHBOARD_CPC_NAME in 2015 during program review.  Updated CPC in 2014 link to prgmid 6138",,
"LANG","DP_ARTSENVS","Diploma: Arts & Science Environmental Studies","0301","Natural resources conservation and research","3044","Geography and environmental studies",FALSE,"6252","Changed CIP in 2026 from 030103 and changed ARTS - APPLIED and changed CIP CLUSTER. Changed DASHBOARD_CPC_NAME in 2015 during program review. Updated CPC in 2014 link to prgmid 4883",,
"LANG","AS_SCIESCIE","Associate of Science: Science (General)","2401","Liberal arts and sciences, general studies and humanities","3001","Biological and physical sciences",FALSE,"6230","Changed DASHBOARD_CPC_NAME in 2015 during program review. Updated CPC in 2014 link to prgmid 4907",,
"LANG","AS_ARTSENVS","Associate of Science: Environmental Studies","0301","Natural resources conservation and research","3044","Geography and environmental studies",FALSE,"6220","Changed CIP in 2026 from 030103 and changed ARTS - APPLIED and changed CIP CLUSTER. Changed DASHBOARD_CPC_NAME in 2015 during program review. Updated CPC in 2014 link to prgmid 5271",,
"LANG","DP_RECLRECL","Diploma: Recreation Leadership","3105","Health and physical education/fitness","3103","Parks, recreation, and leisure facilities management",FALSE,"6271","Changed DASHBOARD_CPC_NAME in 2015 during program review. Updated CPC in 2014 link to prgmid 5528",,
"LANG","AA_ARTSENVS","Associate of Arts: Environmental Studies","0301","Natural resources conservation and research","3044","Geography and environmental studies",FALSE,"6197","Changed CIP in 2026 from 030103 and changed ARTS - APPLIED and changed CIP CLUSTER. Changed DASHBOARD_CPC_NAME in 2015 during program review. Updated CPC in 2014 link to prgmid 5529",,
